,Team1,Over,Team2,Under
0,Tanta FC,0,Ismaily SC,0
1,ES Metlaoui,1.50,Esperance Tunis,2.25
2,Al Qadisiyah,2.10,Al Baten,1.55
3,Arsenal FC,1.55,Tottenham Hotspur,2.20
4,Burnley FC,1.45,Swansea City,2.40
5,Crystal Palace,2.10,Everton FC,1.60
6,Leicester City,1.95,Manchester City,1.70
7,Liverpool FC,1.60,Southampton FC,2.15
8,AFC Bournemouth,2.05,Huddersfield Town,1.65
9,West Bromwich Albion,1.95,Chelsea FC,1.70
10,Manchester United,1.75,Newcastle United,1.85
11,Watford FC,1.85,West Ham United,1.80
12,Brighton & Hove Albion FC,2.25,Stoke City,1.50
13,West Ham United,1.90,Leicester City,1.85
14,Crystal Palace,2.20,Stoke City,1.65
15,Manchester United,1.65,Brighton & Hove Albion FC,2.00
16,Newcastle United,2.00,Watford FC,1.70
17,Tottenham Hotspur,1.65,West Bromwich Albion,2.05
