,MatchDraw,Team1,Team1odd,Team2,Team2Odd
0,4.13,Smouha Club,1.41,AL Ragaa,8.37
1,4.70,CS Sfaxien,1.25,CO Mednine,11.75
2,8.50,Manchester City W,1.05,LSK Kvinner W,31.96
3,4.23,Stuttgart,4.39,Borussia Dortmund,1.71
4,4.16,Amiens,5.94,Monaco,1.57
5,5.51,FC Porto,1.26,Portimonense,10.50
6,3.58,Arsenal,2.38,Tottenham,2.87
7,5.90,Ross County,11.00,Celtic,1.27
8,7.01,Bayern Munchen,1.21,Augsburg,12.95
9,3.74,Bayer Leverkusen,2.17,RB Leipzig,3.14
10,4.61,Liverpool,1.46,Southampton,6.78
11,3.19,Crystal Palace,2.44,Everton,3.09
12,3.78,West Bromwich,5.40,Chelsea,1.67
13,5.11,Leicester,7.27,Manchester City,1.40
14,4.87,Leganes,8.04,Barcelona,1.39
15,3.69,USM Alger,1.56,JS Saoura,5.98
16,4.41,Slavia Prague W,1.44,Stjarnan W,5.64
17,4.08,El Entag El Harby,7.95,Al Ahly Cairo,1.43
18,3.78,Danubio FC,4.58,CA Penarol,1.70
19,5.54,Sporting Lisbon,1.24,Famalicao,11.60
